score,episode number
42.0,0
43.0,1
43.0,2
45.0,3
43.0,4
44.0,5
44.0,6
44.0,7
44.0,8
45.0,9
45.0,10
45.0,11
46.0,12
46.0,13
45.0,14
46.0,15
46.0,16
45.0,17
46.0,18
45.0,19
46.0,20
45.0,21
46.0,22
46.0,23
45.0,24
46.0,25
45.0,26
45.0,27
45.0,28
45.0,29
45.0,30
45.0,31
48.0,32
45.0,33
47.0,34
46.0,35
45.0,36
45.0,37
47.0,38
47.0,39
43.0,40
45.0,41
44.0,42
46.0,43
47.0,44
46.0,45
46.0,46
44.0,47
46.0,48
46.0,49
45.0,50
45.0,51
46.0,52
46.0,53
45.0,54
44.0,55
46.0,56
45.0,57
46.0,58
45.0,59
47.0,60
46.0,61
45.0,62
47.0,63
43.0,64
44.0,65
45.0,66
46.0,67
46.0,68
47.0,69
45.0,70
46.0,71
45.0,72
46.0,73
46.0,74
46.0,75
45.0,76
46.0,77
45.0,78
45.0,79
45.0,80
46.0,81
46.0,82
45.0,83
45.0,84
47.0,85
46.0,86
44.0,87
45.0,88
46.0,89
43.0,90
44.0,91
44.0,92
43.0,93
47.0,94
45.0,95
47.0,96
46.0,97
46.0,98
44.0,99
44.0,100
44.0,101
46.0,102
45.0,103
45.0,104
44.0,105
44.0,106
46.0,107
46.0,108
45.0,109
44.0,110
44.0,111
44.0,112
45.0,113
46.0,114
46.0,115
44.0,116
47.0,117
44.0,118
47.0,119
45.0,120
46.0,121
44.0,122
44.0,123
46.0,124
45.0,125
44.0,126
45.0,127
46.0,128
45.0,129
46.0,130
46.0,131
44.0,132
44.0,133
46.0,134
46.0,135
47.0,136
44.0,137
47.0,138
47.0,139
45.0,140
45.0,141
46.0,142
47.0,143
44.0,144
44.0,145
46.0,146
46.0,147
44.0,148
46.0,149
45.0,150
44.0,151
44.0,152
44.0,153
45.0,154
44.0,155
44.0,156
45.0,157
45.0,158
46.0,159
45.0,160
43.0,161
44.0,162
47.0,163
45.0,164
45.0,165
44.0,166
46.0,167
45.0,168
44.0,169
44.0,170
45.0,171
47.0,172
45.0,173
44.0,174
45.0,175
45.0,176
45.0,177
45.0,178
45.0,179
45.0,180
46.0,181
45.0,182
46.0,183
45.0,184
46.0,185
44.0,186
45.0,187
46.0,188
45.0,189
45.0,190
44.0,191
45.0,192
47.0,193
44.0,194
47.0,195
